"name","asciiname","latitude","longitude"
"Zwingenberg","Zwingenberg","49.41917","9.04056"
"Zwiefalten","Zwiefalten","48.23396","9.46232"
"Zwickau","Zwickau","50.72724","12.48839"
"Zweiflingen","Zweiflingen","49.25639","9.51806"
"Zweifelscheid","Zweifelscheid","50.03333","6.25"
"Zweibrücken","Zweibruecken","49.24686","7.36977"
"Zuzenhausen","Zuzenhausen","49.29636","8.82254"
"Züsch","Zusch","49.65",7
"Zusamaltheim","Zusamaltheim","48.53104","10.63562"
"Zschorlau","Zschorlau","50.56667","12.65"
"Zschepplin","Zschepplin","51.5","12.6"
"Zotzenheim","Zotzenheim","49.86667","7.96667"
"Zöschingen","Zoeschingen","48.67365","10.32522"
"Zornheim","Zornheim","49.89","8.22472"
"Zorneding","Zorneding","48.08433","11.82446"
"Zorge","Zorge","51.63333","10.63333"
"Zöllnitz","Zoellnitz","50.87334","11.64137"
"Zolling","Zolling","48.45","11.76667"
"Zirndorf","Zirndorf","49.4424","10.95414"
"Zingst","Zingst","54.43572","12.6888"
"Zimmerschied","Zimmerschied","50.35","7.78333"
"Zimmern unter der Burg","Zimmern unter der Burg","48.22053","8.71928"
"Zimmernsupra","Zimmernsupra","50.98333","10.86667"
"Zimmern ob Rottweil","Zimmern ob Rottweil","48.1666","8.59436"
"Zimmern","Zimmern",51,"11.63333"
"Ziltendorf","Ziltendorf","52.20608","14.62411"
"Zilshausen","Zilshausen","50.11667","7.38333"
"Ziethen","Ziethen","53.69441","10.80945"
"Ziertheim","Ziertheim","48.65244","10.39882"
"Zielitz","Zielitz","52.28958","11.67572"
"Ziegenhain","Ziegenhain","50.68333","7.53333"
"Ziegelheim","Ziegelheim","50.93333","12.55"
"Zichow","Zichow","53.18927","14.03847"
"Zeuthen","Zeuthen","52.34803","13.62174"
"Zettlitz","Zettlitz","51.06667","12.83333"
"Zettingen","Zettingen","50.23333","7.2"
"Zetel","Zetel","53.41667","7.98333"
"Zernien","Zernien","53.06845","10.88325"
"Zerf","Zerf","49.6","6.68333"
"Zenting","Zenting","48.79128","13.25968"
"Zendscheid","Zendscheid","50.1","6.6"
"Zemmer","Zemmer","49.9","6.7"
"Zell unter Aichelberg","Zell unter Aichelberg","48.64882","9.57137"
"Zeitlarn","Zeitlarn","49.07848","12.11174"
"Zeithain","Zeithain","51.33356","13.33809"
"Zeiskam","Zeiskam","49.23278","8.24722"
"Zeilarn","Zeilarn","48.30003","12.8426"
"Zehnhausen bei Wallmerod","Zehnhausen bei Wallmerod","50.47611","7.92361"
"Zehnhausen bei Rennerod","Zehnhausen bei Rennerod","50.64722","8.05972"
"Zedlitz","Zedlitz","50.81667","12.03333"
"Zechin","Zechin","52.60842","14.45251"
"Zarpen","Zarpen","53.86667","10.51667"
"Zangberg","Zangberg","48.2748","12.42311"
"Zandt","Zandt","49.15","12.73333"
"Zaisenhausen","Zaisenhausen","49.10667","8.81278"
"Zachenberg","Zachenberg","48.96667",13
"Zaberfeld","Zaberfeld","49.05611","8.92694"
"Wutöschingen","Wutoeschingen","47.66019","8.36755"
"Wüstheuterode","Wuestheuterode","51.32332","10.05902"
"Wusterwitz","Wusterwitz","52.36666","12.38488"
"Wustermark","Wustermark","52.55","12.95"
"Wüstenrot","Wustenrot","49.08083","9.46056"
"Wüschheim","Wuschheim","50.01667","7.41667"
"Würzweiler","Wurzweiler","49.65","7.86667"
"Würzburg","Wuerzburg","49.79391","9.95121"
"Würrich","Wurrich","49.98333","7.3"
"Wurmsham","Wurmsham","48.35","12.33333"
"Wurmlingen","Wurmlingen",48,"8.78333"
"Wurmberg","Wurmberg","48.86667","8.81667"
"Wuppertal","Wuppertal","51.25627","7.14816"
"Wunsiedel","Wunsiedel","50.03923","12.00342"
"Wundersleben","Wundersleben","51.15445","11.03885"
"Wulsbüttel","Wulsbuettel","53.31667","8.66667"
"Wülknitz","Wulknitz","51.36667","13.4"
"Wulften","Wulften","51.65999","10.17437"
"Wulfsmoor","Wulfsmoor","53.91233","9.72402"
"Wulfsen","Wulfsen","53.3","10.15"
"Wrohm","Wrohm","54.21305","9.38212"
"Wrixum","Wrixum","54.69993","8.54856"
"Wrist","Wrist","53.93333","9.76667"
"Wriedel","Wriedel","53.0313","10.29848"
"Wremen","Wremen","53.65","8.51667"
"Wörthsee","Woerthsee","48.0725","11.20175"
"Worth","Worth","53.46667","10.41667"
"Wört","Wort","49.03047","10.27239"
"Wörrstadt","Worrstadt","49.84861","8.12417"
"Worpswede","Worpswede","53.21667","8.93333"
"Wörnersberg","Wornersberg","48.56667","8.56667"
"Worms","Worms","49.63278","8.35916"
"Woringen","Woringen","47.91667","10.2"
"Woppenroth","Woppenroth","49.86667","7.41667"
"Wonsheim","Wonsheim","49.78333","7.96667"
"Wonfurt","Wonfurt","50.01667","10.46667"
"Womrath","Womrath","49.91667","7.45"
"Woltershausen","Woltershausen","51.98333","9.95"
"Woltersdorf","Woltersdorf","53.57267","10.6432"
"Woltersdorf","Woltersdorf","52.95","11.21667"
"Woltersdorf","Woltersdorf","52.45554","13.74986"
"Wolsfeld","Wolsfeld","49.90702","6.46597"
"Wolsdorf","Wolsdorf","52.19098","10.93878"
"Wölpinghausen","Wolpinghausen","52.41667","9.23333"
"Wolpertswende","Wolpertswende","47.89471","9.61202"
"Wolpertshausen","Wolpertshausen","49.1675","9.84472"
"Wolmirsleben","Wolmirsleben","51.95","11.48333"
"Wölmersen","Wolmersen","50.71667","7.6"
"Wolmersdorf","Wolmersdorf","54.07652","9.10248"
"Wöllstein","Wollstein","49.81667","7.96667"
"Wollmerath","Wollmerath","50.15","6.98333"
"Wollin","Wollin","52.28333","12.46667"
"Wollershausen","Wollershausen","51.6","10.25"
"Wollbrandshausen","Wollbrandshausen","51.58333","10.16667"
"Wollbach","Wollbach","50.36667","10.23333"
"Wolkramshausen","Wolkramshausen","51.42185","10.73815"
"Wolken","Wolken","50.33333","7.46667"
"Wolfsheim","Wolfsheim","49.87222","8.03944"
"Wolfsegg","Wolfsegg","49.10731","11.9781"
"Wolfschlugen","Wolfschlugen","48.65","9.28333"
"Wolfsburg-Unkeroda","Wolfsburg-Unkeroda","50.93333","10.26667"
"Wolfsburg","Wolfsburg","52.42452","10.7815"
"Wölfis","Woelfis","50.80825","10.77905"
"Wolfertschwenden","Wolfertschwenden","47.8935","10.26715"
"Wolferstadt","Wolferstadt","48.90352","10.78129"
"Wölfersheim","Wolfersheim","50.4","8.81667"
"Wölfershausen","Woelfershausen","50.48333","10.43333"
"Wolfersdorf","Wolfersdorf","48.47937","11.70949"
"Wolferschwenda","Wolferschwenda","51.23333","10.8"
"Wölferlingen","Wolferlingen","50.56444","7.85111"
"Wölferbütt","Woelferbuett","50.76667","10.05"
"Wolfenbüttel","Wolfenbuettel","52.16442","10.54095"
"Wolfegg","Wolfegg","47.8203","9.79491"
"Woldert","Woldert","50.6","7.65"
"Wöhrden","Wohrden","54.16667",9
"Wohnste","Wohnste","53.35","9.53333"
"Wohltorf","Wohltorf","53.51667","10.28333"
"Wohlsborn","Wohlsborn","51.03333","11.36667"
"Wohlde","Wohlde","54.40614","9.2989"
"Wobbenbüll","Wobbenbull","54.53333",9
"Witzwort","Witzwort","54.4","8.98333"
"Witzmannsberg","Witzmannsberg","48.71667","13.41667"
"Witzleben","Witzleben","50.81667","11.11667"
"Witzhave","Witzhave","53.56667","10.33333"
"Witzeeze","Witzeeze","53.45153","10.60796"
"Wittorf","Wittorf","53.33333","10.38333"
"Wittnau","Wittnau","47.95","7.81667"
"Wittmund","Wittmund","53.57674","7.77839"
"Wittmoldt","Wittmoldt","54.16667","10.36667"
"Wittmar","Wittmar","52.12969","10.64"
"Wittlingen","Wittlingen","47.65527","7.65112"
"Wittlich","Wittlich","49.98596","6.89308"
"Wittibreut","Wittibreut","48.32921","12.98704"
"Wittgert","Wittgert","50.5","7.7"
"Wittgendorf","Wittgendorf","50.6","11.23333"
"Witterda","Witterda","51.03615","10.89028"
"Wittenborn","Wittenborn",53922,"10.22065"
"Wittenbergen","Wittenbergen","53.93345","9.68608"
"Wittelshofen","Wittelshofen","49.06121","10.48121"
"Wittdün","Wittdun","54.62695","8.38935"
"Wittbek","Wittbek","54.46667","9.2"
"Witsum","Witsum","54.69947","8.44057"
"Wistedt","Wistedt","53.26667","9.68333"
"Wißmannsdorf","Wissmannsdorf","49.98333","6.45"
"Wismar","Wismar","53.89314","11.45286"
"Wischhafen","Wischhafen","53.78333","9.31667"
"Wisch","Wisch","54.4108","10.34279"
"Wisch","Wisch","54.41667","9.15"
"Wirschweiler","Wirschweiler","49.76667","7.16667"
"Wirscheid","Wirscheid","50.46667","7.66667"
"Wirfus","Wirfus","50.2","7.2"
"Wirft","Wirft","50.36667","6.86667"
"Wirdum","Wirdum","53.47667","7.20594"
"Wippingen","Wippingen","52.92339","7.40723"
"Wipperdorf","Wipperdorf","51.4556","10.64388"
"Wipfeld","Wipfeld","49.91667","10.16667"
"Winzenburg","Winzenburg","51.93333","9.93333"
"Wintrich","Wintrich","49.88333","6.95"
"Winterwerb","Winterwerb","50.23639","7.73901"
"Winterspelt","Winterspelt","50.21667","6.21667"
"Wintersheim","Wintersheim","49.77861","8.28028"
"Winterscheid","Winterscheid","50.23333","6.25"
"Winterrieden","Winterrieden","48.12122","10.22581"
"Winterlingen","Winterlingen","48.18333","9.11667"
"Winterburg","Winterburg","49.86667","7.65"
"Winterborn","Winterborn","49.75","7.86667"
"Winterbach","Winterbach","49.86667","7.63333"
"Winterbach","Winterbach","48.79918","9.47914"
"Winterbach","Winterbach","48.46667","10.48333"
"Winsen","Winsen","53.83333","10.01667"
"Winsen","Winsen","53.35753","10.21282"
"Winsen","Winsen","52.68301","9.91362"
"Winseldorf","Winseldorf","53.94431","9.60632"
"Winringen","Winringen","50.15","6.41667"
"Winnweiler","Winnweiler","49.56667","7.85"
"Winningen","Winningen","50.31667","7.51667"
"Winnigstedt","Winnigstedt","52.06629","10.76879"
"Winnert","Winnert","54.43333","9.2"
"Winnerath","Winnerath","50.42886","6.87658"
"Winnen","Winnen","50.57333","8.01167"
"Winnemark","Winnemark","54.61667","9.91667"
"Winkelsett","Winkelsett","52.86667","8.53333"
"Winkelhaid","Winkelhaid","49.38963","11.29888"
"Winkelbach","Winkelbach","50.64972","7.73306"
"Winhöring","Winhoring","48.26667","12.65"
"Wingerode","Wingerode","51.39032","10.23954"
"Windischleuba","Windischleuba","51.01556","12.46914"
"Windhagen","Windhagen","50.64121","7.35352"
"Windesheim","Windesheim","49.9","7.81667"
"Winden","Winden","50.33333","7.83333"
"Winden","Winden","49.09778","8.11694"
"Windelsbach","Windelsbach","49.4","10.3"
"Windeby","Windeby","54.45971","9.78474"
"Windbergen","Windbergen","54.05","9.11667"
"Windberg","Windberg","48.94285","12.7462"
"Windach","Windach","48.06667","11.03333"
"Wincheringen","Wincheringen","49.60904","6.42597"
"Wimsheim","Wimsheim","48.85","8.83333"
"Wimmelburg","Wimmelburg","51.52069","11.50696"
"Wimbach","Wimbach","50.36667","6.91667"
"Wiltingen","Wiltingen","49.65919","6.59255"
"Wilsum","Wilsum","52.53333","6.85"
"Wilstedt","Wilstedt","53.19493","9.09595"
"Wilsecker","Wilsecker","50.01667","6.58333"
"Wilnsdorf","Wilnsdorf","50.81667","8.1"
"Willwerscheid","Willwerscheid","50.03333","6.93333"
"Willstätt","Willstaett","48.54071","7.89314"
"Willroth","Willroth","50.56912","7.52752"
"Willmering","Willmering","49.25","12.66667"
"Willmenrod","Willmenrod","50.54139","7.98139"
"Willmars","Willmars","50.5","10.25"
"Willingshausen","Willingshausen","50.85","9.2"
"Willingen","Willingen","50.66758","8.08774"
"Willerstedt","Willerstedt","51.08994","11.45286"
"Willenscharen","Willenscharen","54.01667","9.8"
"Wilhelmsthal","Wilhelmsthal","50.31113","11.37278"
"Wilhelmshaven","Wilhelmshaven","53.52998","8.11253"
"Wilhelmsfeld","Wilhelmsfeld","49.47056","8.75361"
"Wilhelmsdorf","Wilhelmsdorf","50.62965","11.54981"
"Wilhelmsdorf","Wilhelmsdorf","49.56419","10.73716"
"Wilhelmsdorf","Wilhelmsdorf","47.86612","9.42621"
"Wilgartswiesen","Wilgartswiesen","49.20891","7.87346"
"Wildsteig","Wildsteig","47.70145","10.93753"
"Wildpoldsried","Wildpoldsried","47.76667","10.4"
"Wildetaube","Wildetaube","50.71667","12.11667"
"Wildeshausen","Wildeshausen","52.89446","8.43375"
"Wildenbörten","Wildenboerten","50.91667","12.28333"
"Wildenberg","Wildenberg","48.72981","11.89845"
"Wildau","Wildau","52.31667","13.63333"
"Wilburgstetten","Wilburgstetten","49.02427","10.39505"
"Wietzendorf","Wietzendorf","52.91667","9.98333"
"Wietzen","Wietzen","52.71667","9.08333"
"Wietze","Wietze","52.65","9.83333"
"Wietmarschen","Wietmarschen","52.51806","7.13408"
"Wiesweiler","Wiesweiler","49.63333","7.56667"
"Wiesthal","Wiesthal","50.03333","9.43333"
"Wiesmoor","Wiesmoor","53.41667","7.73333"
"Wieseth","Wieseth","49.16667","10.48333"
"Wiesenthau","Wiesenthau","49.71326","11.13564"
"Wiesenthal","Wiesenthal","50.7","10.16667"
"Wiesent","Wiesent","49.01667","12.38333"
"Wiesenfelden","Wiesenfelden","49.04066","12.54008"
"Wiesenbronn","Wiesenbronn","49.75","10.3"
"Wiesenbach","Wiesenbach","49.36139","8.80361"
"Wiesenau","Wiesenau","52.23071","14.59107"
"Wiesen","Wiesen","50.11667","9.36667"
"Wiesemscheid","Wiesemscheid","50.33333","6.88333"
"Wiesbaum","Wiesbaum","50.34065","6.67332"
"Wiesbaden","Wiesbaden","50.08258","8.24932"
"Wiesbach","Wiesbach","49.33333","7.45"
"Wiershop","Wiershop","53.43333","10.45"
"Wiersdorf","Wiersdorf",50,"6.45"
"Wierschem","Wierschem","50.22557","7.35157"
"Wiernsheim","Wiernsheim","48.88333","8.85"
"Wienhausen","Wienhausen","52.58021","10.18862"
"Wiemerstedt","Wiemerstedt","54.26667","9.11667"
"Wiemersdorf","Wiemersdorf","53.95815","9.90297"
"Wielenbach","Wielenbach","47.87405","11.15918"
"Wielen","Wielen","52.55","6.71667"
"Wiegendorf","Wiegendorf","50.98333","11.43333"
"Wiefelstede","Wiefelstede","53.25","8.11667"
"Wiedergeltingen","Wiedergeltingen","48.03946","10.67406"
"Wieden","Wieden","47.84145",7882
"Wiedemar","Wiedemar","51.46667","12.2"
"Wieda","Wieda",51634,"10.58704"
"Wiebelsheim","Wiebelsheim","50.08333","7.63333"
"Wickenrodt","Wickenrodt","49.81667","7.35"
"Wichmar","Wichmar","51.03333","11.68333"
"Weyhausen","Weyhausen","52.46208","10.71699"
"Weyerbusch","Weyerbusch","50.71667","7.55"
"Weyer","Weyer","50.18333","7.71667"
"Weyarn","Weyarn","47.85838","11.79923"
"Wewelsfleth","Wewelsfleth","53.85","9.4"
"Wetzlar","Wetzlar","50.56109","8.50495"
"Wettstetten","Wettstetten","48.82252","11.41428"
"Wettrup","Wettrup","52.58887","7.59911"
"Wettringen","Wettringen","52.20939","7.31895"
"Wettringen","Wettringen","49.25788","10.15694"
"Wettlingen","Wettlingen","49.93333","6.4"
"Wetterzeube","Wetterzeube",51,"12.01667"
"Wetschen","Wetschen","52.61295","8.44883"
"Wethau","Wethau","51.13717","11.8568"
"Westre","Westre","54.85","8.98333"
"Westhofen","Westhofen","49.70444","8.24806"
"Westheim","Westheim",49,"10.66667"
"Westhausen","Westhausen","51.01667","10.68333"
"Westhausen","Westhausen","50.31568","10.66236"
"Westhausen","Westhausen","48.88333","10.18333"
"Westgreußen","Westgreussen","51.23871","10.91921"
"Westfeld","Westfeld","52.05","9.91667"
"Westerwalsede","Westerwalsede","53.03333","9.36667"
"Westertimke","Westertimke","53.23697","9.13084"
"Westerstetten","Westerstetten","48.51916","9.95494"
"Westerstede","Westerstede","53.25682","7.92737"
"Westerrönfeld","Westerronfeld","54.28333","9.65"
"Westerrade","Westerrade","53.93333","10.45"
"Wester-Ohrstedt","Wester-Ohrstedt","54.50796","9.18574"
"Westernohe","Westernohe","50.58917","8.10028"
"Westermoor","Westermoor","53.91351","9.62394"
"Westerkappeln","Westerkappeln","52.31667","7.88333"
"Westerhorn","Westerhorn","53.85711","9.67959"
"Westerholz","Westerholz","54.81667","9.66667"
"Westerholt","Westerholt","53.6","7.45"
"Westerhever","Westerhever","54.38236","8.6774"
"Westerheim","Westerheim","48.51511","9.62424"
"Westerheim","Westerheim","48.01667","10.3"
"Westergellersen","Westergellersen","53.23333","10.25"
"Westerdeichstrich","Westerdeichstrich","54.16148","8.86441"
"Westerborstel","Westerborstel","54.23333","9.28333"
"Westerau","Westerau","53.77745","10.48824"
"Westensee","Westensee","54.27452","9.89584"
"Westendorf","Westendorf","48.57209","10.84049"
"Westendorf","Westendorf","47.93333","10.71667"
"Weste","Weste","53.05943","10.70283"
"Wessobrunn","Wessobrunn","47.87407","11.02461"
"Weßling","Wessling","48.07452","11.2482"
"Wesseln","Wesseln","54.20985","9.07644"
"Wesselburenerkoog","Wesselburenerkoog","54.25","8.88333"
"Wesselburener Deichhausen","Wesselburener Deichhausen","54.16667","8.93333"
"Wesendorf","Wesendorf","52.6","10.53333"
"Weselberg","Weselberg","49.33662","7.6078"
"Wesel","Wesel","51.6669","6.62037"
"Wershofen","Wershofen","50.44482","6.81333"
"Werpeloh","Werpeloh","52.87207","7.50831"
"Weroth","Weroth","50.46043","7.94844"
"Werningshausen","Werningshausen","51.13951","11.00135"
"Wernersberg","Wernersberg","49.19062","7.92756"
"Wernburg","Wernburg","50.67775","11.60199"
"Wermsdorf","Wermsdorf","51.28333","12.95"
"Werlte","Werlte","52.85","7.68333"
"Werkhausen","Werkhausen","50.73333","7.53333"
"Werdum","Werdum","53.65751","7.71901"
"Werda","Werda","50.43811","12.30473"
"Werben","Werben","51.81667","14.18333"
"Werbach","Werbach","49.67083","9.63944"
"Wenzlow","Wenzlow","52.3","12.45"
"Wenzendorf","Wenzendorf","53.34948","9.77234"
